0[2, 'hu', 3839]
0[2, 'hu', 3839]
0[2, 'hu', 3839]
0[2, 'hu', 3839]
0[2, 'hu', 3839]
0[2, 'hu', 3839]
0[2, 'hu', 3839]
0[2, 'hu', 3839]
0[0, 'error', 0]
0[3, 'hu', 4095]
0[0, 'error', 0]
0[0, 'error', 0]
0[0, 'error', 0]
0[0, 'error', 0]
0[3, 'hu', 3838]
0[3, 'hu', 3838]
0[3, 'hu', 3838]
0[3, 'hu', 3839]
0[3, 'hu', 3839]
0[2, 'hu', 2816]
0[3, 'hu', 3839]
0[3, 'hu', 1023]
0[2, 'pr', 256]
0[1, 'pr', 527]
0[0, 'error', 2313]
0[2, 'error', 3624]
0[0, 'error', 0]
0[0, 'error', 0]
0[0, 'error', 0]
0[0, 'pr', 32]
0[1, 'te', 1855]
0[1, 'te', 1855]
0[0, 'error', 0]
0[1, 'te', 2879]
0[0, 'error', 0]
0[1, 'te', 831]
0[3, 'pr', 4095]
0[3, 'pr', 4095]
0[3, 'pr', 4095]
